Grupamento_Atividades;Período;Estoque;Admissões;Desligamentos;Saldos
Transporte, armazenagem e correio;3/2023;2562463;119912;96490;23422
Transporte, armazenagem e correio;4/2020;2268258;36059;88813;-52754
Transporte, armazenagem e correio;4/2021;2299143;77887;73484;4403
Transporte, armazenagem e correio;4/2022;2442277;103783;87499;16284
Transporte, armazenagem e correio;4/2023;2578568;103011;86906;16105
Transporte, armazenagem e correio;5/2020;2240445;36190;64003;-27813
Transporte, armazenagem e correio;5/2021;2306398;79296;72041;7255
Transporte, armazenagem e correio;5/2022;2457056;105734;90955;14779
Transporte, armazenagem e correio;5/2023;2586081;106583;99070;7513
Transporte, armazenagem e correio;6/2020;2231595;47990;56840;-8850
Transporte, armazenagem e correio;6/2021;2319114;82724;70008;12716
Transporte, armazenagem e correio;6/2022;2473807;102200;85449;16751
Transporte, armazenagem e correio;7/2020;2228136;60111;63570;-3459
Transporte, armazenagem e correio;7/2021;2333411;88687;74390;14297
Transporte, armazenagem e correio;7/2022;2487200;98793;85400;13393
Transporte, armazenagem e correio;8/2020;2227705;65228;65659;-431
Transporte, armazenagem e correio;8/2021;2352090;94101;75422;18679
Transporte, armazenagem e correio;8/2022;2501318;106405;92287;14118
Transporte, armazenagem e correio;9/2020;2238013;74279;63971;10308
Transporte, armazenagem e correio;9/2021;2370023;96158;78225;17933
Transporte, armazenagem e correio;9/2022;2517187;99479;83610;15869
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1/2020;343574;6796;6310;486
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1/2021;344818;7755;6493;1262
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1/2022;360968;9636;7548;2088
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1/2023;380928;9893;9838;55
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;10/2020;343652;8355;6157;2198
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;10/2021;358973;9450;7952;1498
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;10/2022;380964;9255;7954;1301
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;11/2020;344683;7144;6113;1031
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;11/2021;360930;9521;7564;1957
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;11/2022;380761;8764;8967;-203
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;12/2020;343556;5884;7011;-1127
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;12/2021;358880;8610;10660;-2050
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;12/2022;380873;8076;7964;112
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2/2020;344953;8376;6997;1379
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2/2021;347517;8984;6285;2699
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2/2022;363632;11026;8362;2664
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2/2023;382600;11079;9407;1672
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;3/2020;345419;7437;6971;466
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;3/2021;349030;9197;7684;1513
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;3/2022;365713;11719;9638;2081
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;3/2023;384050;11844;10394;1450
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;4/2020;342337;3715;6797;-3082
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;4/2021;348394;7701;8337;-636
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;4/2022;368237;10512;7988;2524
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;4/2023;386031;10581;8600;1981
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;5/2020;340109;4166;6394;-2228
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;5/2021;350611;9397;7180;2217
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;5/2022;371737;11696;8196;3500
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;5/2023;385846;10262;10447;-185
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;6/2020;338732;4338;5715;-1377
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;6/2021;352739;9162;7034;2128
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;6/2022;373771;11127;9093;2034
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;7/2020;338335;5310;5707;-397
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;7/2021;354623;8585;6701;1884
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;7/2022;375974;10637;8434;2203
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;8/2020;339987;6833;5181;1652
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;8/2021;356043;8843;7423;1420
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;8/2022;378308;11040;8706;2334
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;9/2020;341454;7179;5712;1467
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;9/2021;357475;8737;7305;1432
Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;9/2022;379663;9362;8007;1355
